"Coordinate" "plate.name" "Time" "OD600" "Strain" "Condition" "Bio_Rep"
"B2" "A1" 0 0.0119 "BY4741" "SYNHEFL00000022" "1"
"B3" "A1" 0 0.0117 "aly1KO" "SYNHEFL00000022" "1"
"B4" "A1" 0 0.0083 "art10KO" "SYNHEFL00000022" "1"
"B5" "A1" 0 0.0097 "hal5KO" "SYNHEFL00000022" "1"
"B6" "A1" 0 0.0115 "ilt1KO" "SYNHEFL00000022" "1"
"B7" "A1" 0 0.0111 "ldb19KO" "SYNHEFL00000022" "1"
"B8" "A1" 0 0.0088 "sat4KO" "SYNHEFL00000022" "1"
"B9" "A1" 0 0.0077 "trk1KO" "SYNHEFL00000022" "1"
"B10" "A1" 0 0.0058 "trk2KO" "SYNHEFL00000022" "1"
"B11" "A1" 0 0.0048 "BY4741" "SYNHEFL00000022" "1"
"C2" "A1" 0 0.0074 "BY4741" "SYNHEFL00000022" "1"
"C3" "A1" 0 0.009 "aly1KO" "SYNHEFL00000022" "1"
"C4" "A1" 0 0.0079 "art10KO" "SYNHEFL00000022" "1"
"C5" "A1" 0 0.0088 "hal5KO" "SYNHEFL00000022" "1"
"C6" "A1" 0 0.0084 "ilt1KO" "SYNHEFL00000022" "1"
"C7" "A1" 0 0.0082 "ldb19KO" "SYNHEFL00000022" "1"
"C8" "A1" 0 0.0116 "sat4KO" "SYNHEFL00000022" "1"
"C9" "A1" 0 0.01 "trk1KO" "SYNHEFL00000022" "1"
"C10" "A1" 0 0.0085 "trk2KO" "SYNHEFL00000022" "1"
"C11" "A1" 0 0.0123 "BY4741" "SYNHEFL00000022" "1"
"D2" "A1" 0 0.0114 "BY4741" "SYNHEFL00000022" "1"
"D3" "A1" 0 0.0121 "aly1KO" "SYNHEFL00000022" "1"
"D4" "A1" 0 0.0077 "art10KO" "SYNHEFL00000022" "1"
"D5" "A1" 0 0.0096 "hal5KO" "SYNHEFL00000022" "1"
"D6" "A1" 0 0.0113 "ilt1KO" "SYNHEFL00000022" "1"
"D7" "A1" 0 0.0119 "ldb19KO" "SYNHEFL00000022" "1"
"D8" "A1" 0 0.0131 "sat4KO" "SYNHEFL00000022" "1"
"D9" "A1" 0 0.0153 "trk1KO" "SYNHEFL00000022" "1"
"D10" "A1" 0 0.0124 "trk2KO" "SYNHEFL00000022" "1"
"D11" "A1" 0 0.0094 "BY4741" "SYNHEFL00000022" "1"
"E2" "A1" 0 0.0082 "BY4741" "SYNHEFL00000022" "1"
"E3" "A1" 0 0.0133 "aly1KO" "SYNHEFL00000022" "1"
"E4" "A1" 0 0.011 "art10KO" "SYNHEFL00000022" "1"
"E5" "A1" 0 0.0147 "hal5KO" "SYNHEFL00000022" "1"
"E6" "A1" 0 0.014 "ilt1KO" "SYNHEFL00000022" "1"
"E7" "A1" 0 0.0116 "ldb19KO" "SYNHEFL00000022" "1"
"E8" "A1" 0 0.0143 "sat4KO" "SYNHEFL00000022" "1"
"E9" "A1" 0 0.0143 "trk1KO" "SYNHEFL00000022" "1"
"E10" "A1" 0 0.0127 "trk2KO" "SYNHEFL00000022" "1"
"E11" "A1" 0 0.0159 "BY4741" "SYNHEFL00000022" "1"
"F2" "A1" 0 0.00430000000000001 "BY4741" "SYNHEFL00000022" "1"
"F3" "A1" 0 0.0088 "aly1KO" "SYNHEFL00000022" "1"
"F4" "A1" 0 0.0067 "art10KO" "SYNHEFL00000022" "1"
"F5" "A1" 0 0.0082 "hal5KO" "SYNHEFL00000022" "1"
"F6" "A1" 0 0.0081 "ilt1KO" "SYNHEFL00000022" "1"
"F7" "A1" 0 0.0087 "ldb19KO" "SYNHEFL00000022" "1"
"F8" "A1" 0 0.0098 "sat4KO" "SYNHEFL00000022" "1"
"F9" "A1" 0 0.0092 "trk1KO" "SYNHEFL00000022" "1"
"F10" "A1" 0 0.013 "trk2KO" "SYNHEFL00000022" "1"
"F11" "A1" 0 0.0091 "BY4741" "SYNHEFL00000022" "1"
"G2" "A1" 0 0.0074 "BY4741" "SYNHEFL00000022" "1"
"G3" "A1" 0 0.0085 "aly1KO" "SYNHEFL00000022" "1"
"G4" "A1" 0 0.0073 "art10KO" "SYNHEFL00000022" "1"
"G5" "A1" 0 0.0101 "hal5KO" "SYNHEFL00000022" "1"
"G6" "A1" 0 0.0113 "ilt1KO" "SYNHEFL00000022" "1"
"G7" "A1" 0 0.0127 "ldb19KO" "SYNHEFL00000022" "1"
"G8" "A1" 0 0.0126 "sat4KO" "SYNHEFL00000022" "1"
"G9" "A1" 0 0.0147 "trk1KO" "SYNHEFL00000022" "1"
"G10" "A1" 0 0.0138 "trk2KO" "SYNHEFL00000022" "1"
"G11" "A1" 0 0.012 "BY4741" "SYNHEFL00000022" "1"
"B2" "A1" 60 0.0148 "BY4741" "SYNHEFL00000022" "1"
"B3" "A1" 60 0.0163 "aly1KO" "SYNHEFL00000022" "1"
"B4" "A1" 60 0.0114 "art10KO" "SYNHEFL00000022" "1"
"B5" "A1" 60 0.0134 "hal5KO" "SYNHEFL00000022" "1"
"B6" "A1" 60 0.0169 "ilt1KO" "SYNHEFL00000022" "1"
"B7" "A1" 60 0.0178 "ldb19KO" "SYNHEFL00000022" "1"
"B8" "A1" 60 0.0178 "sat4KO" "SYNHEFL00000022" "1"
"B9" "A1" 60 0.0144 "trk1KO" "SYNHEFL00000022" "1"
"B10" "A1" 60 0.0117 "trk2KO" "SYNHEFL00000022" "1"
"B11" "A1" 60 0.0117 "BY4741" "SYNHEFL00000022" "1"
